"File","Line","Column","Severity","Message","Rule"
"C:\Users\Windows\Desktop\ASE\SIIS\src\components\layout\MainLayout.jsx","11","14","error","Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components","react-refresh/only-export-components"
"C:\Users\Windows\Desktop\ASE\SIIS\src\components\layout\Navbar.jsx","185","35","error","'Icon' is defined but never used","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\components\viewer\navPathfinding.js","444","49","error","'grid' is defined but never used","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\components\viewer\navPathfinding.js","741","67","error","'_options' is assigned a value but never used","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\components\viewer\ThreeViewer.jsx","387","10","error","'easeInOutCubic' is defined but never used. Allowed unused vars must match /^[A-Z_]/u","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\components\viewer\ThreeViewer.jsx","714","10","error","'fitCameraTopDown' is defined but never used. Allowed unused vars must match /^[A-Z_]/u","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\components\viewer\ThreeViewer.jsx","848","10","error","'fitEntryCameraTopDown' is defined but never used. Allowed unused vars must match /^[A-Z_]/u","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\components\viewer\ThreeViewer.jsx","1765","12","error","'simplifyRouteGuidePoints' is defined but never used. Allowed unused vars must match /^[A-Z_]/u","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\components\viewer\ThreeViewer.jsx","1855","12","error","'nearestReachableNavPoint' is defined but never used. Allowed unused vars must match /^[A-Z_]/u","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\components\viewer\ThreeViewer.jsx","1893","12","error","'trianglesConnected' is defined but never used. Allowed unused vars must match /^[A-Z_]/u","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\components\viewer\ThreeViewer.jsx","1987","12","error","'orthogonalizePolyline' is defined but never used. Allowed unused vars must match /^[A-Z_]/u","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\components\viewer\ThreeViewer.jsx","2185","12","error","'buildRelativeCue' is defined but never used. Allowed unused vars must match /^[A-Z_]/u","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\components\viewer\ThreeViewer.jsx","4103","6","warning","React Hook useEffect has missing dependencies: 'setLabelsVisible' and 'showLabelsForSelection'. Either include them or remove the dependency array","react-hooks/exhaustive-deps"
"C:\Users\Windows\Desktop\ASE\SIIS\src\context\AuthContext.jsx","40","17","error","Fast refresh only works when a file only exports components. Use a new file to share constants or functions between components","react-refresh/only-export-components"
"C:\Users\Windows\Desktop\ASE\SIIS\src\hooks\useChat.js","1","33","error","'useRef' is defined but never used. Allowed unused vars must match /^[A-Z_]/u","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\hooks\useLocalStorage.js","21","13","error","Empty block statement","no-empty"
"C:\Users\Windows\Desktop\ASE\SIIS\src\pages\AppointmentsPage.jsx","176","14","error","'err' is defined but never used","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\pages\AppointmentsPage.jsx","200","14","error","'err' is defined but never used","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\pages\AppointmentsPage.jsx","302","9","error","'formatDateTime' is assigned a value but never used. Allowed unused vars must match /^[A-Z_]/u","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\pages\AppointmentsPage.jsx","686","16","error","'err' is defined but never used","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\pages\AppointmentsPage.jsx","694","6","warning","React Hook useEffect has missing dependencies: 'refreshPendingCitas' and 'refreshWeekData'. Either include them or remove the dependency array","react-hooks/exhaustive-deps"
"C:\Users\Windows\Desktop\ASE\SIIS\src\pages\AppointmentsPage.jsx","881","14","error","'err' is defined but never used","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\pages\AppointmentsPage.jsx","896","14","error","'err' is defined but never used","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\pages\AppointmentsPage.jsx","909","14","error","'err' is defined but never used","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\pages\AppointmentsPage.jsx","922","14","error","'err' is defined but never used","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\src\services\chatService.test.js","10","5","error","'global' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\src\services\chatService.test.js","17","12","error","'global' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\src\services\chatService.test.js","24","5","error","'global' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\src\services\chatService.test.js","34","5","error","'global' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\src\services\chatService.test.js","41","12","error","'global' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\src\services\http.test.js","13","5","error","'global' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\src\services\http.test.js","17","12","error","'global' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\src\services\http.test.js","26","5","error","'global' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\src\services\http.test.js","36","5","error","'global' is not defined","no-undef"
