"File","Line","Column","Severity","Message","Rule"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","4","69","error","'__filename' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","8","1267","error","'process' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","8","1302","error","'process' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","8","1680","error","'require' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","8","1707","error","'require' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","8","1824","error","'__dirname' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","8","2439","error","'process' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","8","2477","error","'process' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","8","2526","error","'process' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","8","2599","error","'process' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","8","2668","error","'process' is not defined","no-undef"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","8","3965","error","'setWindowTitle' is assigned a value but never used. Allowed unused vars must match /^[A-Z_]/u","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","8","4012","error","Empty block statement","no-empty"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","8","4202","error","'arguments_' is assigned a value but never used. Allowed unused vars must match /^[A-Z_]/u","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","8","4258","error","'thisProgram' is assigned a value but never used. Allowed unused vars must match /^[A-Z_]/u","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","8","4310","error","'quit_' is assigned a value but never used. Allowed unused vars must match /^[A-Z_]/u","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","8","4557","error","'binary' is defined but never used","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","10","480","error","'q' is defined but never used","no-unused-vars"
"C:\Users\Windows\Desktop\ASE\SIIS\public\draco\draco_decoder.js","10","20034","error","'u' is assigned a value but never used. Allowed unused vars must match /^[A-Z_]/u","no-unused-vars"
